"cell_id","cell_index","regime","regime_label","tau0","n","domain_length","stage","rep","seed","status","error_message","loglik_matern","loglik_iid","delta","selection","fitted_range","fitted_sigma","fitted_beta","range_over_mesh","iid_mean","iid_sigma"
"fixed_domain__tau0_0.2__n_40",1,"fixed_domain","fixed-domain",0.2,40,1,"pilot",1,20360414,"ok",NA,0.387722451471156,-1.36754524621685,1.755267697688,"matern",0.103323015723482,0.140008940083633,0.264851294757863,2.06646031446963,0.26977880104655,0.150643168822764
"fixed_domain__tau0_0.2__n_40",1,"fixed_domain","fixed-domain",0.2,40,1,"pilot",2,20360415,"ok",NA,-4.38681742229403,-6.04428700977366,1.65746958747964,"matern",0.0386247020956222,0.187619489413068,0.29531450744884,0.772494041912445,0.287409760209858,0.198013195731248
"fixed_domain__tau0_0.2__n_40",1,"fixed_domain","fixed-domain",0.2,40,1,"pilot",3,20360416,"ok",NA,-9.1495183666529,-9.24983950287787,0.100321136224974,"matern",0.0401084158438917,0.220215444368691,0.316812627470758,0.802168316877834,0.314620519927158,0.230170895393236
"fixed_domain__tau0_0.2__n_40",1,"fixed_domain","fixed-domain",0.2,40,1,"pilot",4,20360417,"ok",NA,4.67318321430057,4.11215824151498,0.561024972785595,"matern",0.0569035936977365,0.0945879781152337,0.232716680781905,1.13807187395473,0.230562459471321,0.0875698716775109
"fixed_domain__tau0_0.2__n_40",1,"fixed_domain","fixed-domain",0.2,40,1,"pilot",5,20360418,"ok",NA,-7.11781063866977,-6.74601903200652,-0.371791606663251,"iid",0.000766880787904071,1.08516531425712,0.319548818690584,0.0153376157580814,0.318176365240328,0.205031308364961
"fixed_domain__tau0_0.2__n_40",1,"fixed_domain","fixed-domain",0.2,40,1,"pilot",6,20360419,"ok",NA,-8.39653798459085,-8.01685868128419,-0.379679303306659,"iid",0.00104383077202114,0.989529272360003,0.264537668014413,0.0208766154404229,0.26500658077568,0.21776075262765
"fixed_domain__tau0_0.2__n_40",1,"fixed_domain","fixed-domain",0.2,40,1,"pilot",7,20360420,"ok",NA,-6.75902312153674,-7.32435516525975,0.565332043723018,"matern",0.0293083269694109,0.212718868097419,0.241984372563626,0.586166539388218,0.237743492766406,0.21081907052021
"fixed_domain__tau0_0.2__n_40",1,"fixed_domain","fixed-domain",0.2,40,1,"pilot",8,20360421,"ok",NA,-7.35474465673038,-7.13928562699921,-0.215459029731171,"iid",0.0288986985869613,0.213726635171118,0.288784916512138,0.577973971739225,0.288359186366264,0.208966134881927
"fixed_domain__tau0_0.2__n_40",1,"fixed_domain","fixed-domain",0.2,40,1,"pilot",9,20360422,"ok",NA,-10.4100293426452,-10.1972624267938,-0.212766915851436,"iid",0.000432993463675674,1.68830915143163,0.282268815712798,0.00865986927351348,0.279797373124916,0.23976898924755
"fixed_domain__tau0_0.2__n_40",1,"fixed_domain","fixed-domain",0.2,40,1,"pilot",10,20360423,"ok",NA,-15.1257243291613,-7.57078578862684,-7.5549385405345,"iid",0.000186113667238604,0.00401871995665178,0.320583766936991,0.00372227334477208,0.320583890564426,0.213287470779217
"fixed_domain__tau0_0.2__n_40",1,"fixed_domain","fixed-domain",0.2,40,1,"pilot",11,20360424,"ok",NA,-5.22606456471106,-4.97310915331452,-0.252955411396538,"iid",0.000336353931886838,1.48988395315454,0.271000497685851,0.00672707863773676,0.271974326157165,0.187292266478432
